Station,January,February,March,April,May,June,July,August,September,October,November,December
Tutuban,107825,115040,135055,109809,129170,109612,125265,126685,115206,114231,112340,131187
Blumentritt,102891,95783,104813,79397,87783,80600,100153,93181,78390,76572,63103,52334
Laon-Laan,39441,33626,38030,28634,34277,30271,36076,37699,33151,37082,32820,35336
España,106880,104118,114399,85732,100937,98402,111803,116977,90875,87016,71767,59438
Sta. Mesa,119376,118417,126597,78754,86959,91173,136808,126641,108114,100737,71731,66607
Pandacan,32272,30844,34149,26032,32610,29276,34684,34430,31146,33304,30581,33437
Paco,43945,43072,47393,35876,43095,39303,48826,48661,43576,43722,36974,34863
San Andres,32282,32669,35493,25996,29588,27516,32669,32555,31151,32932,28237,27528
Vito Cruz,29455,29377,33129,23687,28670,25732,32344,33384,30913,32088,27402,25702
Buendia,116693,115373,130459,95638,114718,104654,113561,121144,104071,106522,87775,67658
Pasay Road,62701,62178,67920,48380,59320,56575,60292,65322,61519,62084,48913,38327
EDSA,44863,51708,51334,38174,44375,42088,46328,50967,49046,49310,42701,35855
Nichols,46869,49040,55874,39102,44358,43911,50019,53966,52077,51258,44609,41213
FTI,115819,116486,133692,96026,118017,114961,130661,138007,122857,124149,94595,86901
Bicutan,123401,121706,135676,101831,117745,111163,135962,131064,118430,121209,94859,89496
Sucat,66330,63392,73299,52108,63789,61358,75373,73211,61750,63053,51670,47648
Alabang,180375,170715,184941,141298,169254,151797,190659,168448,144334,146428,120971,113207
Muntinlupa,2182,2650,2599,1899,2820,2680,3040,2822,3569,3773,2980,3227
San Pedro,3261,3367,4136,3158,3451,3102,4478,5642,4796,6356,5072,5935
Biñan,1676,1662,2778,2290,2703,2171,0,0,0,0,0,0
Sta. Rosa,4302,4103,4284,4204,5792,4592,5586,5266,4003,4901,4856,5560
Cabuyao,0,0,0,0,0,0,3921,2259,0,1209,0,0
Mamatid,4454,4410,5384,4878,6517,5574,6687,5917,4695,7308,6867,8436
Calamba,0,0,0,0,0,0,0,101,346,739,841,1147
